key,name,provider,provider_slug,category,category_label,benefit_type,application_status,application_status_source_url,application_status_checked_at,value_text,value_usd,eligibility,stages,max_funding_raised_usd,max_company_age_years,geographies,recurring_or_expiry,other_requirements,confidence,last_verified,source_url,apply_url,url
perplexity-for-startups,Perplexity for Startups,Perplexity,perplexity,ai-ml,AI & ML,Credits,unknown,,,"3 months of free Perplexity Enterprise Pro for up to 50 seats, plus $5k in API credits",5000,Referral required,idea; pre-seed; seed; series-a,20000000,5,,6 months of Enterprise Pro; API credits are a one-time grant.,"Company must be less than 5 years old, have raised under $20M in equity, and be associated with one of Perplexity's approved Startup Partners (accelerator/VC).",high,2026-09-01T06:01:17.567Z,https://www.perplexity.ai/startups,https://www.perplexity.ai/startups,https://startupperks.co/programs/perplexity-for-startups
elevenlabs-startup-grants,ElevenLabs Startup Grants,ElevenLabs,elevenlabs,ai-ml,AI & ML,Credits,unknown,,,"A $4,000+ value",4000,Any startup,idea; pre-seed; seed,,,,"12-month grant; rolling applications, decision within ~1 week.","Fewer than 25 employees; legitimate business model and monetization strategy; valid business email; not building for children under 18. Agencies, consulting firms, and existing enterprise customers are not eligible. One application per company.",high,2026-09-01T12:01:12.394Z,https://elevenlabs.io/startup-grants,https://elevenlabs.io/startup-grants,https://startupperks.co/programs/elevenlabs-startup-grants
vercel-open-source-program,Vercel Open Source Program,Vercel,vercel,cloud-infra,Cloud & Infrastructure,Credits,unknown,,,"$3,600 Vercel platform credits over 3 years",3600,No funding needed,idea; pre-seed; seed; any,,,,12 months of credits per accepted cohort; reapply per cohort.,Must maintain a qualifying open-source project. Cohort-based applications. Not funding-gated.,high,2026-09-01T12:01:12.394Z,https://vercel.com/open-source-program,https://vercel.com/open-source-program,https://startupperks.co/programs/vercel-open-source-program
supabase-startup-program,Supabase Startup Program,Supabase,supabase,databases-data,Databases & Data,Credits,unknown,,,Up to $3K credits,3000,VC / accelerator-backed,pre-seed; seed; series-a,5000000,5,,Credits valid 12 months.,"Under 5 years old, under $5M total funding (pre-seed to Series A), verified affiliation with an approved VC firm or accelerator.",medium,,https://supabase.com/solutions/startups,https://supabase.com/solutions/startups,https://startupperks.co/programs/supabase-startup-program
clickup-for-startups,ClickUp for Startups,ClickUp,clickup,productivity-saas,Productivity & SaaS,Credits,unknown,,,"$3,000 in ClickUp credit",3000,VC / accelerator-backed,pre-seed; seed; series-a,,5,,Ongoing program,"Must be affiliated with an approved funding partner, have raised no more than a Series B round, be incorporated within the last 5 years, and be new to ClickUp or on the Free Forever plan.",high,2026-09-01T18:03:56.166Z,https://clickup.com/startup-program,https://clickup.com/startup-program,https://startupperks.co/programs/clickup-for-startups
stripe-atlas-incorporation-credits-perks,Stripe Atlas (Incorporation + Credits + Perks),Stripe,stripe,banking-fintech,Banking & Fintech,Credits,unknown,,,"$2,500 in credits for Stripe products",2500,No funding needed,idea; pre-seed; seed,,,,$100 annual registered-agent renewal after year one; fee-waiver capped by revenue threshold.,"Must form (or have recently formed) a company through Stripe Atlas. $500 formation fee is paid, not a free perk. Processing fee waiver applies to US card charges up to the revenue cap.",high,2026-09-04T12:01:58.580Z,https://support.stripe.com/questions/atlas-fee-credits-faq,https://stripe.com/atlas,https://startupperks.co/programs/stripe-atlas-incorporation-credits-perks
airtable-for-startups,Airtable for Startups,Airtable,airtable,productivity-saas,Productivity & SaaS,Credits,unknown,,,$500 in free credit,500,Any startup,idea; pre-seed; seed,,,,Credit amount varies by application channel.,Bootstrapped/pre-seed/seed stage; company-domain email and real website required.,medium,2026-09-04T18:01:42.611Z,https://www.airtable.com/startups,https://www.airtable.com/startups,https://startupperks.co/programs/airtable-for-startups
1password-for-startups,1Password for Startups,1Password,1password,security-legal-hr,"Security, Legal & HR",Free plan,unknown,,,Up to $2K free plan,2000,Referral required,pre-seed; seed; series-a,,,,"Free trial period ~6 months, then standard pricing; OSS free tier is ongoing.","Redeemed via partner/accelerator programs (e.g., Founder Club, Brex Marketplace $100 credit) rather than a single public 1Password page; needs a company-domain email and verifiable startup profile.",low,,https://1password.com/product/teams-small-business-password-manager,https://1password.com/,https://startupperks.co/programs/1password-for-startups
tiger-cloud-startup-credits,Tiger Cloud Startup Credits,Tiger Data (Timescale),tiger-data-timescale,databases-data,Databases & Data,Credits,unknown,,,Up to $1K credits,1000,Any startup,idea; pre-seed; seed,,,,30-day free trial.,Trial credit is for new users; larger amounts require partner/sales engagement.,low,,https://www.tigerdata.com/pricing,https://www.tigerdata.com/,https://startupperks.co/programs/tiger-cloud-startup-credits
miro-startup-program,Miro Startup Program,Miro,miro,productivity-saas,Productivity & SaaS,Credits,unknown,,,Up to $1K credits,1000,Any startup,pre-seed; seed,10000000,7,,Credit value depends on partner vs individual channel.,"Incorporated within the last 7 years, raised no more than $10M, 30 or fewer employees, live website, not primarily a service/consulting firm.",high,,https://miro.com/startups/,https://miro.com/startups/,https://startupperks.co/programs/miro-startup-program
brex-new-customer-sign-up-bonus,Brex New Customer Sign-Up Bonus,Brex,brex,banking-fintech,Banking & Fintech,Cash & rewards,unknown,,,"Earn 90,000 points",,Incorporated,pre-seed; seed; series-a; series-b-plus; any,,,US,Time-limited promo; terms rotate.,New Brex business customers only; US-incorporated business with an EIN (no sole proprietors). Approval based on cash balance/funding. Spend or deposit threshold and deadline apply.,medium,2026-09-05T18:00:17.359Z,https://www.brex.com/legal/march-2026-sign-up-offer,https://www.brex.com/,https://startupperks.co/programs/brex-new-customer-sign-up-bonus
deel-startup-program-free-hr-perks-new-customer-credit,Deel Startup Program (Free HR + Perks + New-Customer Credit),Deel,deel,security-legal-hr,"Security, Legal & HR",Free plan,unknown,,,First 5 seats free for life,,Any startup,idea; pre-seed; seed; series-a; any,,,,Free HR ongoing; annual-commit discounts require yearly plans.,Free HR tier for smaller teams. The $500 credit and preferred rates often via partner/VC programs (e.g. FounderPass). EOR discounts require annual/multi-year commitment.,low,2026-09-05T18:00:17.359Z,https://www.deel.com/startups/,https://www.deel.com/,https://startupperks.co/programs/deel-startup-program-free-hr-perks-new-customer-credit
mercury-business-banking-new-account-cash-bonus,Mercury Business Banking + New Account Cash Bonus,Mercury,mercury,banking-fintech,Banking & Fintech,Cash & rewards,unknown,,,Up to $250 discount,250,Any startup,idea; pre-seed; seed; series-a; any,,,US,One-time bonus per new account; promo terms subject to change.,New Mercury customers only; US-incorporated business (LLC or C-corp) with an EIN. Not for sole proprietors. Deposit threshold within 90 days.,medium,,https://mercury.com/,https://mercury.com/,https://startupperks.co/programs/mercury-business-banking-new-account-cash-bonus
netlify-open-source-nonprofit-program,Netlify Open Source / Nonprofit Program,Netlify,netlify,cloud-infra,Cloud & Infrastructure,Free plan,unknown,,,Free for startups,,No funding needed,idea; pre-seed; seed; any,,,,Plan-level discount; new users get a monthly free credit allotment.,Open-source or verified nonprofit status; valid .edu email (via GitHub Student Pack) for student Pro. No general VC-backed startup credit program currently published.,low,,https://www.netlify.com/pricing/,https://www.netlify.com/pricing/,https://startupperks.co/programs/netlify-open-source-nonprofit-program
fly-io-startup-promo-credits,Fly.io Startup / Promo Credits,Fly.io,fly-io,cloud-infra,Cloud & Infrastructure,Credits,unknown,,,Credits,,No funding needed,idea; pre-seed; seed; any,,,,Promo credits one-time and small; core model usage-based.,Requires a credit card; promo credits are partnership-specific and limited. No formal VC/accelerator-gated credit tier.,low,,https://community.fly.io/t/startup-credit-program/6709,https://fly.io/,https://startupperks.co/programs/fly-io-startup-promo-credits
coreweave-startup-accelerator-program,CoreWeave Startup Accelerator Program,CoreWeave,coreweave,cloud-infra,Cloud & Infrastructure,Credits,unknown,,,Credits,,Any startup,seed; series-a; series-b-plus,,,,"Ongoing, no deadlines.","Credit amount negotiated per company and not published. AI/ML-focused, compute-intensive workloads.",low,,https://www.coreweave.com/blog/coreweave-launches-startup-accelerator-program-democratizing-access-to-gpu-compute-in-the-cloud,https://www.coreweave.com/,https://startupperks.co/programs/coreweave-startup-accelerator-program
dbt-labs-startup-perk-via-google-for-startups-cloud,dbt Labs Startup Perk (via Google for Startups Cloud),dbt Labs,dbt-labs,databases-data,Databases & Data,Discount,unknown,,,45-day Enterprise free trial,,VC / accelerator-backed,pre-seed; seed; series-a,,,,45-day Enterprise trial.,Requires Scale Tier membership in the Google for Startups Cloud Program (pre-seed to Series A and VC/accelerator association).,medium,2026-09-05T18:00:20.405Z,https://www.getdbt.com/blog/enterprise-free-trial-startup-perks-program-google-cloud,https://cloud.google.com/startup/perks,https://startupperks.co/programs/dbt-labs-startup-perk-via-google-for-startups-cloud
cockroachdb-for-startups,CockroachDB for Startups,Cockroach Labs,cockroach-labs,databases-data,Databases & Data,Credits,unknown,,,Credits,,Any startup,seed; series-a; series-b-plus,,,,,Terms governed by the CockroachDB Cloud Credits Supplement; amount not publicly fixed.,low,,https://www.cockroachlabs.com/solutions/verticals/startups/,https://www.cockroachlabs.com/solutions/verticals/startups/,https://startupperks.co/programs/cockroachdb-for-startups
planetscale-for-startups,PlanetScale for Startups,PlanetScale,planetscale,databases-data,Databases & Data,Credits,unknown,,,Credits,,VC / accelerator-backed,pre-seed; seed; series-a,,,,,Eligibility and credit amount vary by partner route.,low,,https://startup-perks.com/perks/planetscale-for-startups/,https://planetscale.com/,https://startupperks.co/programs/planetscale-for-startups
hugging-face-startup-program,Hugging Face Startup Program,Hugging Face,hugging-face,ai-ml,AI & ML,Discount,unknown,,,Up to 50% off,,Any startup,pre-seed; seed; series-a,,,,Discount applies to Enterprise Hub Year 1.,"Open to bootstrapped, pre-seed, and seed startups; no equity required. No VC referral required.",medium,,https://huggingface.co/docs/hub/en/enterprise,https://huggingface.co/startups,https://startupperks.co/programs/hugging-face-startup-program
cohere-startup-program,Cohere Startup Program,Cohere,cohere,ai-ml,AI & ML,Discount,unknown,,,Up to 25% off,,Any startup,pre-seed; seed; series-a; series-b-plus,,,,25% discount for up to 12 months.,Open to startups with Series B funding or earlier.,high,,https://cohere.com/startup-program,https://cohere.com/startup-program-application,https://startupperks.co/programs/cohere-startup-program
rho-business-banking-treasury-new-account-cash-bonus,Rho Business Banking + Treasury (New Account Cash Bonus),Rho,rho,banking-fintech,Banking & Fintech,Cash & rewards,unknown,,,Up to 2% off,,Incorporated,pre-seed; seed; series-a; series-b-plus; any,,,US,Promo bonus terms rotate; treasury yield variable.,New Rho customers; US-incorporated business. Treasury yield requires a $100k minimum. Deposit-bonus threshold ($20k in 60 days) tied to a specific promo.,medium,,https://www.rho.co/startups,https://www.rho.co/startups,https://startupperks.co/programs/rho-business-banking-treasury-new-account-cash-bonus
arc-treasury-and-cash-management-for-startups,Arc Treasury & Cash Management for Startups,Arc,arc,banking-fintech,Banking & Fintech,Cash & rewards,unknown,,,Up to 4.65% yield,,VC / accelerator-backed,seed; series-a; series-b-plus; any,,,US,Subscription tiers; yield rates variable.,US-incorporated startups (Arc primarily serves venture-backed tech companies). Higher tiers are paid subscriptions; yield variable.,medium,2026-09-06T00:00:27.847Z,https://www.joinarc.com/treasury-management,https://www.joinarc.com/treasury-management,https://startupperks.co/programs/arc-treasury-and-cash-management-for-startups
meow-business-banking-for-startups,Meow Business Banking for Startups,Meow,meow,banking-fintech,Banking & Fintech,Cash & rewards,unknown,,,Free for startups,,Incorporated,pre-seed; seed; series-a; series-b-plus; any,,,US,Yield variable; account free tier ongoing.,"US-incorporated business. Meow is a fintech, not a bank; services via partner banks. Yield variable.",medium,,https://www.meow.com/for-startups,https://www.meow.com/for-startups,https://startupperks.co/programs/meow-business-banking-for-startups
